Species_full,a,b
Labroides phthirophagus,1.10E-05,3
Labroides rubrolabiatus,0.007255262,3.160835913
Labropsis alleni,0.00955,3.05
Labropsis australis,0.010073115,3.135883228
Labropsis manabei,0.00955,3.05
Labropsis micronesica,0.00955,3.05
Labropsis polynesica,0.00585,3.23093
Labropsis xanthonota,0.009999782,3.135883228
Lachnolaimus maximus,0.01614,2.828
Lactophrys bicaudalis,0.974500252,1.964700252
Lactophrys trigonus,0.001824736,2.2302
Lactophrys triqueter,0.001824736,2.2302
Lactoria diaphana,0.02099,2.99
Lactoria fornasini,0.0065,3.17
Larabicus quadrilineatus,0.00955,3.05
Leiuranus versicolor,0.00148,2.9
Lepadichthys frenatus,0.0055,3.1
Lepidonectes bimaculata,0.0055,3.08
Lepidonectes bimaculatus,0.0055,3.08
Lepidonectes clarkhubbsi,0.01,3.04
Lepidonectes corallicola,0.0055,3.08
Lepidozygus tapeinosoma,0.02,3.19
Leptojulis chrysotaenia,0.00955,3.05
Leptojulis cyanopleura,0.00955,3.05
Leptoscarus vaigiensis,0.01376188,2.99701335
Lethrinus amboinensis,0.00389,3.12
Lethrinus atkinsoni,0.017798634,3.057374693
Lethrinus atlanticus,0.0165,3.043
Lethrinus borbonicus,1.512014623,1.512014623
Lethrinus erythracanthus,0.01479,3
Lethrinus erythropterus,0.01995,3.1
Lethrinus genivittatus,0.015861437,2.987732433
Lethrinus harak,0.015402787,3.026130017
Lethrinus laticaudis,0.01479,3
Lethrinus lentjan,0.017593395,2.99308998
Lethrinus microdon,0.01479,2.98
Lethrinus miniatus,0.01778,3.04
Lethrinus nebulosus,0.02,3
Lethrinus obsoletus,0.017329694,3.025828472
Lethrinus olivaceus,0.029360671,2.850635264
Lethrinus ornatus,0.01862,3.04
Lethrinus rubrioperculatus,0.012836091,3.049035364
Lethrinus semicinctus,0.01288,3.01
Lethrinus sp,0.01479,3
Lethrinus variegatus,1.011948079,2.046936247
Lethrinus xanthochilus,0.018332597,2.976951315
Limnichthys fasciatus,0.00389,3.12
Liopropoma rubre,0.01201,3.038
Liza vaigiensis,0.014056981,3.022846675
Lotilia graciliosa,0.00589,3.1
Lotilia klausewitzi,0.00589,3.1
Lubbockichthys multisquamatus,0.00389,3.12
Lucayablennius zingaro,0.00468,3.08
Lutjanus alexandrei,0.017945,2.95305
Lutjanus analis,0.017414092,2.954666667
Lutjanus apodus,0.016845,2.99
Lutjanus aratus,0.024,2.91
Lutjanus argentimaculatus,0.021925428,2.912131206
Lutjanus argentiventris,0.024,2.91
Lutjanus aurorubens,0.0168,2.896
Lutjanus bengalensis,0.01479,2.98
Lutjanus biguttatus,0.01479,2.98
Lutjanus bohar,0.015628466,3.058646488
Lutjanus buccanella,0.01479,2.98
Lutjanus carponotatus,0.01479,2.98
Lutjanus chrysurus,0.0235,2.74
Lutjanus colorado,0.01498641,2.985714286
Lutjanus cyanopterus,0.0093,2.88
Lutjanus decussatus,0.02239,3.01
Lutjanus ehrenbergii,0.014952136,3.023420989
Lutjanus erythropterus,0.01514,2.97
Lutjanus fulgens,0.0035,3.5
Lutjanus fulviflamma,0.018349403,2.96992482
Lutjanus fulvus,0.021061453,2.974331519
Lutjanus gibbus,0.013092867,3.137520668
Lutjanus goreensis,0.0202,2.8928
Lutjanus griseus,0.017846667,2.9376
Lutjanus guttatus,0.01047,2.92
Lutjanus inermis,0.01479,2.98
Lutjanus jocu,0.013403096,3.059333333
Lutjanus johnii,0.01288,2.96
Lutjanus jordani,0.024,2.91
Lutjanus kasmira,0.008424814,3.246964089
Lutjanus lemniscatus,1.500350348,1.500350348
Lutjanus lutjanus,0.017027058,2.959547347
Lutjanus mahogoni,0.03009,2.8395
Lutjanus monostigma,0.022184666,2.91252239
Lutjanus novemfasciatus,0.024,2.91
Lutjanus quinquelineatus,0.014045473,3.039791708
Lutjanus rivulatus,0.008426947,3.260164377
Lutjanus rufolineatus,0.02188,3.02
Lutjanus russelli,0.016584476,2.977892129
Lutjanus russellii,0.01318,2.99
Lutjanus sebae,0.012685674,3.095885175
Lutjanus semicinctus,0.008581999,3.234007556
Lutjanus sp,0.01479,2.98
Lutjanus synagris,0.022783741,2.936
Lutjanus viridis,0.024,2.91
Lutjanus vitta,0.01445,2.98
Lutjanus vittus,0.01249992,3.075172594
Luzonichthys microlepis,0.00389,3.12
Luzonichthys waitei,0.00389,3.12
Luzonichthys whitleyi,0.00389,3.12
Lythrypnus dalli,0.00851,3.05
Lythrypnus gilberti,0.00589,3.1
Macolor macularis,0.02,3.02
Macolor niger,0.016736035,3.022152377
Macrodontogobius wilburi,0.00891,3.07
Macropharyngodon bipartitus,0.01,3.06
Macropharyngodon choati,0.01,3.06
Macropharyngodon cyanoguttatus,0.010334673,3.118824842
Macropharyngodon geoffroy,6.50E-05,2.9
Macropharyngodon kuiteri,0.010334673,3.118824842
Macropharyngodon meleagris,0.010669345,3.177649683
Macropharyngodon negrosensis,0.010223115,3.139216561
Macropharyngodon ornatus,0.01,3.06
Macropharyngodon sp,0.010334673,3.118824842
Malacanthus brevirostris,0.0049,3
Malacanthus latovittatus,0.016159445,2.8295
Malacanthus plumieri,0.017656667,2.806
Malacoctenus aurolineatus,0.0341,2.72
Malacoctenus boehlkei,0.009115,3.015
Malacoctenus brunoi,0.0122,2.95
Malacoctenus delalandii,0.0122,2.95
Malacoctenus ebisui,0.00933,3.03
Malacoctenus gilli,0.0089,3
Malacoctenus hubbsi,0.00933,3.03
Malacoctenus macropus,0.021115,2.855
Malacoctenus margaritae,0.00933,3.03
Malacoctenus sp,0.0122,2.95
Malacoctenus tetranemus,0.00933,3.03
Malacoctenus triangulatus,1.017429357,2.01446269
Malacoctenus versicolor,0.0089,3
Malacoctenus zonifer,0.00933,3.03
Manonichthys splendens,0.0049,3.1
Manta birostris,1.525,1.525
Mccoskerichthys sandae,0.00102,3.06
Megalaspis cordyla,0.008334081,3.197237587
Megalops atlanticus,0.00794,2.98
Meiacanthus atrodorsalis,1.0184642,2.508246674
Meiacanthus bundoon,0.003182658,3.760106369
Meiacanthus crinitus,0.01122,3.04
Meiacanthus ditrema,0.0055,3.05
Meiacanthus grammistes,0.0055,3.05
Meiacanthus kamoharai,0.0055,3.05
Meiacanthus lineatus,0.0055,3.05
Meiacanthus luteus,0.0055,3.05
Meiacanthus mossambicus,0.01122,3.04
Meiacanthus nigrolineatus,1.527263642,1.527263642
Meiacanthus oualanensis,0.003182658,3.760106369
Meiacanthus phaeus,0.0055,3.05
Meiacanthus smithi,0.0055,3.05
Meiacanthus sp,0.0055,3.05
Meiacanthus tongaensis,0.003182658,3.760106369
Melichthys indicus,0.0257,2.94
Melichthys niger,0.0058,3.554
Melichthys sp,0.02159,3.426
Melichthys vidua,0.02159,3.426
Microcanthus strigatus,0.037729056,2.904157268
Micrognathus crinitus,0.00049,3.1
Microgobius carri,0.0094,3.045
Microgobius microlepis,0.00589,3.1
Microspathodon bairdii,0.02239,2.99
Microspathodon chrysurus,1.98E-05,3.0825
Microspathodon dorsalis,0.023145,3.036
Microspathodon frontatus,1.98E-05,3.0825
Mimoblennius atrocinctus,0.00741,3
Mobula thurstoni,0.01,3.04
Mola mola,0.00389,2.93
Monacanthus chinensis,0.0257,2.79
Monacanthus ciliatus,0.0256,2.7
Monacanthus sp,0.0256,2.7
Monacanthus tuckeri,0.027555,2.88
Monodactylus argenteus,0.0302,2.97
Monotaxis grandoculis,0.022959421,3.02223458
Monotaxis heterodon,0.02,3.02
Mugil cephalus,0.011433422,3.029248908
Mugil curema,0.01114,2.9695
Mugil galapagensis,0.01175,2.97
Mugil sp,0.0108,2.969
Mulloidichthys dentatus,0.009565,3.076
Mulloidichthys flavolineatus,0.011973899,3.101092515
Mulloidichthys martinicus,0.000558727,2.3772
Mulloidichthys mimicus,0.01023,3.09
Mulloidichthys vanicolensis,0.0148346,3.2
Muraena argus,0.00112,3.07
Muraena augusti,0.0011,3.085
Muraena clepsydra,0.00112,3.07
Muraena lentiginosa,0.00112,3.07
Muraena melanotis,0.001,3.07
Muraena pavonina,0.001,3.07
Muraena robusta,0.001,3.07
Muraena sp,0.001,3.07
Mycteroperca acutirostris,0.013,3.033
Mycteroperca bonaci,0.008225,3.1065
Mycteroperca fusca,1.024504021,2.031170688
Mycteroperca interstitialis,0.00872,3.197333333
Mycteroperca marginata,9.00E-06,3.1149
Mycteroperca microlepis,0.0263,2.95
Mycteroperca olfax,0.0263,2.95
Mycteroperca phenax,0.013,3.033
Mycteroperca rosacea,1.530256032,1.530256032
Mycteroperca sp,0.013,3.033
Mycteroperca tigris,0.01096,3.06
Mycteroperca venenosa,0.01208,3.04
Mycteroperca xenarcha,1.530256032,1.530256032
Myrichthys breviceps,2.00E-04,3.15
Myrichthys maculosus,0.00148,2.9
Myrichthys ocellatus,2.00E-04,3.15
Myrichthys pardalis,2.00E-04,3.15
Myrichthys tigrinus,0.00148,2.9
Myripristis adusta,0.021554555,3.065206614
Myripristis amaena,0.015755816,3.261142509
Myripristis berndti,0.0556,2.72
Myripristis botche,0.01738,3.09
Myripristis bowditchae,0.027619109,3.030413227
Myripristis earlei,0.01549,3.1
Myripristis gildi,0.019901572,3.089482645
Myripristis hexagona,0.019901572,3.089482645
Myripristis jacobus,0.111,2.72
Myripristis kochiensis,0.01549,3.1
Myripristis kuntee,0.009911928,3.467646855
Myripristis leiognathus,0.02124,3.09668
Myripristis murdjan,0.021379555,3.070206614
Myripristis pralinia,0.02,3.1
Myripristis randalli,0.01549,3.1
Myripristis sp,0.019901572,3.089482645
Myripristis spp,0.019901572,3.089482645
Myripristis tiki,0.0099,3.47
Myripristis violacea,0.036397227,2.940259801
Myripristis vittata,0.01549,3.1
Nannosalarias nativitatis,0.00741,3
Narcine brasiliensis,0.0245,2.25
Naso annulatus,0.041140808,2.805123178
Naso brachycentron,0.01,3.25
Naso brevirostris,0.010649453,3.242973288
Naso caeruleacauda,1.509458279,1.509458279
Naso caesius,0.01,3.25
Naso elegans,0.02344,2.97
Naso fageni,0.01995,3
Naso hexacanthus,0.020165194,2.955825192
Naso lituratus,0.008480656,3.249644164
Naso lopezi,0.008480656,3.249644164
Naso mcdadei,0.0263,3.01
Naso sp,0.0263,3.01
Naso thynnoides,0.0195,3.09
Naso tonganus,0.02512,3
Naso tuberosus,0.01,3.25
Naso unicornis,0.017880286,3.035454104
Naso vlamingii,0.0263,3.01
Nebrius ferrugineus,0.00417,3.07
Nectamia luxuria,0.01549,3.06
Nectamia similis,0.01549,3.06
Negaprion acutidens,0.015346974,2.587631503
Negaprion brevirostris,0.0053,3.16
Nemanthias carberryi,0.01023,2.98
Nemateleotris magnifica,0.018889383,2.842616401
Nematistius pectoralis,0.01072,3.02
Nemipterus zysron,0.005946574,3.357259402
Neocirrhites armatus,0.009273273,3.268401098
Neoglyphidodon carlsoni,0.019958209,3.101193482
Neoglyphidodon crossi,0.02239,2.99
Neoglyphidodon melas,0.019958209,3.101193482
Neoglyphidodon nigroris,0.018011004,3.091100023
Neoglyphidodon oxyodon,0.02239,2.99
Neoglyphidodon polyacanthus,0.022284,3.088103702
Neoglyphidodon thoracotaeniatus,0.02239,2.99
Neomyxus chaptalli,0.012718591,3.046374966
Neomyxus leuciscus,7.00E-05,2.89
Neoniphon argenteus,0.025348947,2.886631847
Neoniphon marianus,0.016995,2.97525
Neoniphon opercularis,0.028791445,2.867153318
Neoniphon sammara,0.027615397,2.888353581
Neoniphon sp,0.027615397,2.888353581
Neopomacentrus anabatoides,0.020311631,2.961344462
Neopomacentrus azysron,0.03,2.94
Neopomacentrus bankieri,0.01479,2.99
Neopomacentrus cyanomos,1.007262291,1.976214178
Neopomacentrus filamentosus,0.01479,2.99
Neopomacentrus metallicus,0.020311631,2.961344462
Neopomacentrus miryae,1.497976805,1.497976805
Neopomacentrus nemurus,0.022701893,2.941575126
Neopomacentrus sp,0.022701893,2.941575126
Neopomacentrus taeniurus,0.025833262,2.932688924
Neopomacentrus violascens,0.020486631,2.956344462
Neosynchiropus morrisoni,0.01047,3.01
Neosynchiropus ocellatus,0.01047,3.01
Neotrygon kuhlii,0.01622,3.11
Neotrygon ningalooensis,0.01259,3.03
Nes longus,0.0035,3.766
Nexilosus latifrons,0.01995,3.03
Nicholsina denticulata,0.01047,3.07
Nicholsina usta,0.0179,3.0348
Norfolkia squamiceps,0.0055,3.08
Notocirrhitus splendens,0.00912,3.08
Notolabrus gymnogenis,0.01995,2.99
Notolabrus inscriptus,0.00955,3.05
Notolabrus tetricus,0.01995,2.99
Novaculichthys taeniourus,0.013,2.91
Ocyurus chrysurus,0.01532,2.975
Odontoscion dentex,1.03E-05,3.0073
Odontoscion eurymesops,0.00525,3.1
Odontoscion xanthops,0.00871,3.08
Odonus niger,0.03236,2.96
Ogcocephalus darwini,0.0195,2.96
Ogcocephalus vespertilio,0.0302,2.61
Ogilbyina novaehollandiae,0.0049,3.1
Ogilbyina queenslandiae,0.01175,3.01
Omobranchus rotundiceps,6.90E-06,3.25
Ophioblennius atlanticus,0.000135519,2.3791
Ophioblennius macclurei,1.014094718,1.796294718
Ophioblennius steindachneri,0.005865,3.44532
Ophioblennius trinitatis,0.000135519,2.3791
Ophioscion simulus,0.00871,3.08
Opistognathus aurifrons,9.53E-06,2.9895
Opistognathus darwiniensis,0.00389,3.12
Opistognathus macrognathus,0.0093,2.99
Opistognathus panamaensis,0.00389,3.12
Opistognathus panamensis,0.00389,3.12
Opistognathus randalli,0.00389,3.12
Opistognathus sp,0.00389,3.12
Oplegnathus insignis,0.01995,3.01
Oplegnathus robinsoni,0.01995,3.01
Oplopomus oplopomus,0.026387532,2.622565603
Opua nephodes,0.00891,3.08
Orectolobus halei,0.00389,3.12
Orectolobus ornatus,0.00389,3.12
Orectolobus wardi,0.00389,3.12
Orthopristis forbesi,0.0138,2.99
Orthopristis ruber,0.0265,2.748
Ostorhinchus angustatus,0.00493,3.78006
Ostorhinchus aureus,0.01148,3.15
Ostorhinchus bandanensis,0.01318,3.14
Ostorhinchus cavitensis,0.01318,3.09
Ostorhinchus chrysopomus,0.01096,3.11
Ostorhinchus cladophilos,0.01096,3.11
Ostorhinchus compressus,0.00933,3.07
Ostorhinchus cookii,0.01479,3.08
Ostorhinchus cyanosoma,0.01318,3.14
Ostorhinchus dispar,0.00646,3.19
Ostorhinchus doederleini,0.01318,3.14
Ostorhinchus exostigma,0.01318,3.14
Ostorhinchus hartzfeldii,0.00646,3.19
Ostorhinchus kallopterus,0.01318,3.14
Ostorhinchus luteus,0.01096,3.11
Ostorhinchus monospilus,0.01318,3.09
Ostorhinchus multilineatus,0.00646,3.19
Ostorhinchus neotes,0.00646,3.19
Ostorhinchus nigrofasciatus,0.01,3.29
Ostorhinchus pallidofasciatus,0.01096,3.11
Ostorhinchus parvulus,0.00646,3.19
Ostorhinchus properuptus,0.00646,3.19
Ostorhinchus rubrimacula,0.00646,3.19
Ostorhinchus rueppellii,0.01318,3.09
Ostorhinchus sealei,0.00646,3.19
Ostorhinchus taeniophorus,0.01318,3.09
Ostorhinchus wassinki,0.00646,3.19
Ostracion cubicus,0.104174054,2.59983153
Ostracion cyanurus,0.01122,3.04
Ostracion immaculatus,0.03548,2.81
Ostracion meleagris,0.1141,2.5537
Ostracion solorensis,0.098100721,2.616498196
Ostracion whitleyi,0.03548,2.81
Oxycercichthys veliferus,0.0049,3.1
Oxycheilinus bimaculatus,0.06784618,2.317282291
Oxycheilinus celebicus,0.014024673,3.093824842
Oxycheilinus digramma,0.010669345,3.177649683
Oxycheilinus digrammus,0.01995,2.95
Oxycheilinus lineatus,0.01698,2.95
Oxycheilinus mentalis,0.01698,2.95
Oxycheilinus nigromarginatus,0.01698,2.95
Oxycheilinus orientalis,0.013824673,3.063824842
Oxycheilinus unifasciatus,0.015508278,3.057916947
Oxycirrhites typus,0.006581637,3.194200549
Oxymonacanthus longirostris,0.68617464,2.196307638
Oxyurichthys papuensis,0.00813,3
Pagrus pagrus,0.017045,2.964
Parablennius marmoreus,0.011933333,2.992633333
Parablennius pilicornis,0.01245,2.9765
Parablennius salensis,0.0149,2.943
Parablennius serratolineatus,0.01,3.04
Parablennius sp,0.0149,2.943
Paracaesio sordida,0.01778,3.05
Paracaesio xanthura,0.02089,3.06
Paracanthurus hepatus,0.03,2.95
Paracentropyge multifasciatus,0.0302,2.89
Parachaetodon ocellatus,0.02188,3.02
Paracheilinus cyaneus,0.00955,3.05
Paracheilinus filamentosus,0.00955,3.05
Paracheilinus nursalim,0.00955,3.05
Paracheilinus octotaenia,0.00955,3.05
Paracheilinus sp,0.00955,3.05
Paracirrhites arcatus,0.009273273,3.268401098
Paracirrhites bicolor,0.01,3.04
Paracirrhites forsteri,0.009273273,3.268401098
Paracirrhites hemistictus,0.009415818,3.221700275
Paracirrhites nisus,0.01585,3.01
Paracirrhites xanthus,0.00912,3.08
Paraclinus mexicanus,0.00457,3.11
Paraclinus spectator,0.0092,2.9111
Paraconger californiensis,0.00115,3.07
Paragobiodon echinocephalus,0.01995,3.01
Paragobiodon xanthosoma,0.01995,3.01
Paralabrax albomaculatus,0.01072,3.06
Paraluteres prionurus,0.017052407,2.971378403
Paramonacanthus japonicus,0.020946675,2.864402076
Paranthias colonus,0.01148,3.05
Paranthias furcifer,1.53074,1.53074
Parapercis australis,0.00646,3.09
Parapercis bimacula,0.00646,3.09
Parapercis clathrata,0.009923928,2.990894144
Parapercis cylindrica,0.012376914,3.000237019
Parapercis hexophtalma,0.008193544,3.075754428
Parapercis lineopunctata,0.00646,3.09
Parapercis millepunctata,0.011027261,2.991787477
Parapercis multiplicata,0.00646,3.09
Parapercis pacifica,0.00646,3.09
Parapercis polyophtalma,0.006820633,3.157263284
Parapercis punctulata,0.00646,3.09
Parapercis queenslandica,0.00646,3.09
Parapercis schauinslandii,1.550653263,1.550653263
Parapercis schauislandi,0.013311784,2.942682432
Parapercis signata,0.00646,3.09
Parapercis snyderi,0.00646,3.09
Parapercis sp,0.00646,3.09
Parapercis stricticeps,0.00646,3.09
Parapercis tetracantha,0.00646,3.09
Parapercis xanthogramma,0.00646,3.09
Parapercis xanthozona,0.009798254,2.974911312
Paraplotosus butleri,0.00457,3.07
Paraplotosus muelleri,0.00457,3.07
Parapriacanthus dispar,0.01585,2.99
Parapriacanthus ransonneti,0.01585,2.99
Parapristipoma humile,0.0193,2.945
Parapristipoma octolineatum,0.01609,2.9775
Parapsettus panamensis,0.02455,2.96
Parascorpaena aurita,0.0123,3.02
Pareques acuminatus,5.47E-06,3.2017
Pareques fuscovittatus,0.00871,3.08
Pareques perissa,0.00525,3.1
Pareques viola,0.00871,3.08
Parioglossus dotui,0.00389,3.12
Parioglossus interruptus,0.00389,3.12
Parma alboscapularis,0.02239,2.99
Parma microlepis,0.02239,2.99
Parma oligolepis,0.02239,2.99
Parma polylepis,0.021649384,3.090400143
Parupeneus barberinoides,0.012458031,3.109959922
Parupeneus barberinus,0.01306709,3.122492248
Parupeneus bifasciatus,0.014446061,3.129919843
Parupeneus chrysopleuron,0.0138,3.08
Parupeneus ciliatus,0.011633172,3.219917119
Parupeneus crassilabris,0.013233031,3.109959922
Parupeneus cyclostomus,0.014446061,3.129919843
Parupeneus forsskali,0.01202,3.09
Parupeneus heptacanthus,0.014600046,3.084010847
Parupeneus indicus,0.013224892,3.097103663
Parupeneus insularis,0.017110097,3.21
Parupeneus macronemus,0.00912,3.15
Parupeneus multifasciatus,0.01135854,3.210819176
Parupeneus orientalis,0.0142,3.11
Parupeneus pleurostigma,0.014446061,3.129919843
Parupeneus porphyreus,2.00E-05,3.1
Parupeneus rubescens,0.013233031,3.109959922
Parupeneus spilurus,0.016027204,3.030852453
Parupeneus trifasciatus,0.013233031,3.109959922
Pastinachus atrus,0.01259,3.03
Pastinachus sephen,0.01259,3.03
Pempheris adusta,0.01585,2.99
Pempheris affinis,0.01585,2.99
Pempheris analis,0.01585,2.99
Pempheris klunzingeri,0.01585,2.99
Pempheris mangula,0.01585,2.99
Pempheris molucca,0.01585,2.99
Pempheris oualensis,0.02511985,3
Pempheris schomburgkii,0.0439,2.62
Pempheris schwenkii,0.029875,2.805
Pempheris sp,0.01585,2.99
Pempheris tominagai,0.01585,2.99
Pempheris vanicolensis,0.01288,2.98
Pentapodus aureofasciatus,0.015785567,2.991934492
Pentapodus caninus,0.01445,2.98
Pentapodus emeryii,0.01445,2.98
Pentapodus paradiseus,0.01445,2.98
Pentapodus porosus,0.01445,2.98
Pentapodus sp,0.01445,2.98
Pentapodus trivittatus,0.01445,2.98
Pentapodus vitta,0.01445,2.98
Pervagor alternans,0.017052407,2.971378403
Pervagor aspricaudus,0.012224814,3.032756806
Pervagor janthinosoma,0.016802407,2.971378403
Pervagor marginalis,0.02188,2.91
Pervagor melanocephalus,0.017052407,2.971378403
Pervagor sp,0.017052407,2.971378403
Pervagor spilosoma,9.10E-05,2.79
Petroscirtes breviceps,0.0055,3.05
Petroscirtes fallax,0.0055,3.05
Petroscirtes lupus,0.007618321,3.032940817
Petroscirtes mitratus,0.0055,3.05
Petroscirtes variabilis,0.0055,3.05
Pherallodus indicus,0.0055,3.1
Pholidichthys leucotaenia,0.00389,3.12
Phyllogobius platycephalops,0.00589,3.1
Pictichromis coralensis,0.0049,3.1
Pictichromis paccagnellae,0.0049,3.1
Pictichromis porphyrea,0.0049,3.1
Pinguipes brasilianus,0.009665,3.0165
Plagiotremus azaleus,0.0018,3.581
Plagiotremus ewaensis,5.70E-07,3.55
Plagiotremus goslinei,5.70E-07,3.55
Plagiotremus laudandus,0.003652467,3.315279499
Plagiotremus phenax,0.0055,3.05
Plagiotremus rhinorhynchos,0.003683963,3.466043715
Plagiotremus tapeinosoma,0.005657362,2.908320997
Platax batavianus,0.02188,2.96
Platax boersii,0.02188,2.96
Platax orbicularis,0.035922945,2.965744661
Platax pinnatus,0.033092945,2.955744661
Platax teira,0.02188,2.96
Platybelone argalus,5.00E-04,3.25
Plectorhinchus albovittatus,0.020415368,2.942414487
Plectorhinchus caeruleonothus,1.500518053,1.500518053
Plectorhinchus chaetodonoides,0.01755386,3.005163448
Plectorhinchus chrysotaenia,0.0138,3
Plectorhinchus diagrammus,0.01995,2.96
Plectorhinchus flavomaculatus,0.01738,3.01
Plectorhinchus gaterinus,0.019663154,2.969262198
Plectorhinchus gibbosus,0.021281928,2.945981239
Plectorhinchus lessonii,0.019806577,2.964631099
Plectorhinchus lineatus,0.012553626,3.078590252
Plectorhinchus multivittatus,0.01995,2.96
Plectorhinchus orientalis,0.019663154,2.969262198
Plectorhinchus paulayi,0.019663154,2.969262198
Plectorhinchus picus,0.011507819,3.088917582
Plectorhinchus plagiodesmus,0.019663154,2.969262198
Plectorhinchus playfairi,0.019663154,2.969262198
Plectorhinchus polytaenia,0.0138,3
Plectorhinchus schotaf,0.0138,3
Plectorhinchus sordidus,0.019663154,2.969262198
Plectorhinchus sp,0.019663154,2.969262198
Plectorhinchus vittatus,0.0138,3
Plectranthias nanus,0.00933,2.97
Plectroglyphidodon dickii,0.035552922,2.938600095
Plectroglyphidodon flaviventris,0.041795,2.8125
Plectroglyphidodon imparipennis,3.80E-05,3.1
Plectroglyphidodon johnstonianus,0.020908767,3.190800285
Plectroglyphidodon lacrymatus,0.020908767,3.190800285
Plectroglyphidodon leucozonus,0.0297,2.936
Plectroglyphidodon phoenixensis,0.02239,2.99
Plectroglyphidodon sp,0.02239,2.99
Plectropomus areolatus,0.01122,3.05
Plectropomus laevis,0.005908347,3.237744328
Plectropomus leopardus,0.011616701,3.054772431
Plectropomus maculatus,0.771929432,2.296377297
Plectropomus oligacanthus,1.532982163,1.532982163
Plectropomus pessuliferus,0.01122,3.05
Plectropomus punctatus,0.01122,3.05
Plesiops insularis,0.01096,2.98
Pleurosicya elongata,0.00589,3.1
Pleurosicya labiata,0.00589,3.1
Pleurosicya micheli,0.00589,3.1
Pleurosicya mossambica,0.00589,3.1
Plotosus canius,0.0049,3.02
Plotosus lineatus,0.006078325,3.467896665
Pogonoperca punctata,0.01122,3.06
Pomacanthus arcuatus,3.71E-05,2.968
Pomacanthus imperator,0.056434494,2.784110977
Pomacanthus navarchus,0.0309,2.9
Pomacanthus paru,1.52E-05,3.1264
Pomacanthus rhomboides,0.056434494,2.784110977
Pomacanthus semicirculatus,1.002006995,1.88713681
Pomacanthus sexstriatus,0.03548,2.88
Pomacanthus xanthometopon,0.0309,2.9
Pomacanthus zonipectus,0.0309,2.9
Pomacentrus adelus,0.017611574,3.291498389
Pomacentrus alexanderae,0.02399,3.01
Pomacentrus alleni,0.01479,2.99
Pomacentrus amboinensis,0.034822422,2.856878985
Pomacentrus aurifrons,0.02344,2.98
Pomacentrus auriventris,0.01479,2.99
Pomacentrus australis,0.01479,2.99
Pomacentrus baenschi,0.02344,2.98
Pomacentrus bankanensis,0.02800791,3.023852146
Pomacentrus brachialis,0.02800791,3.023852146
Pomacentrus burroughi,0.01479,2.99
Pomacentrus caeruleus,0.01413,2.94
Pomacentrus callainus,0.02344,2.98
Pomacentrus chrysurus,0.026421734,3.082794615
Pomacentrus coelestis,0.02800791,3.023852146
Pomacentrus cuneatus,0.02344,2.98
Pomacentrus fuscidorsalis,0.01479,2.99
Pomacentrus grammorhynchus,0.025723955,3.001926073
Pomacentrus imitator,0.015069256,3.279479015
Pomacentrus indicus,0.02344,2.98
Pomacentrus lepidogenys,0.021497812,3.210056465
Pomacentrus limosus,0.01,3.04
Pomacentrus littoralis,0.02344,2.98
Pomacentrus milleri,0.01479,2.99
Pomacentrus moluccensis,0.030454215,3.012111701
Pomacentrus nagasakiensis,0.02800791,3.023852146
Pomacentrus nigromanus,0.026421734,3.082794615
Pomacentrus nigromarginatus,0.01479,2.99
Pomacentrus opisthostigma,0.02344,2.98
Pomacentrus pavo,0.022799124,2.955764887
Pomacentrus philippinus,0.023144033,3.0576084
Pomacentrus reidi,0.02344,2.98
Pomacentrus simsiang,0.02291,2.94
Pomacentrus smithi,0.021398955,3.006926073
Pomacentrus sp,0.02344,2.98
Pomacentrus spilotoceps,0.02344,2.98
Pomacentrus sulfureus,1.503029533,1.503029533
Pomacentrus trichourus,1.503029533,1.503029533
Pomacentrus trilineatus,0.02344,2.98
Pomacentrus tripunctatus,0.02344,2.98
Pomacentrus vaiuli,0.047199162,2.775249217
Pomacentrus wardi,0.025723955,3.001926073
Pomachromis fuscidorsalis,0.017849384,3.090400143
Pomachromis richardsoni,0.017849384,3.090400143
Pomadasys incisus,0.05015,2.695
Porichthys porosissimus,2.13E-06,3.314
Premnas biaculeatus,0.02754,3.01
Priacanthus arenatus,1.19E-05,3.0387
Priacanthus blochii,0.02884,2.92
Priacanthus hamrur,0.024292995,2.835422928
Priacanthus meeki,2.80E-05,3.01
Priolepis eugenius,4.58E-05,2.72
Prionurus biafraensis,0.0267,2.984
Prionurus laticlavius,0.043475,2.8395
Prionurus maculatus,1.517388243,1.517388243
Prionurus microlepidotus,0.01122,3.04
Prionurus punctatus,0.01995,3.01
Pristiapogon exostigma,0.00871,3.17
Pristiapogon fraenatus,0.0123,3.06
Pristiapogon kallopterus,0.01318,3.13
Pristicon rhodopterus,0.01549,3.06
Pristicon trimaculatus,0.01778,2.96
Pristotis jerdoni,0.019718715,3.071687032
Pristotis obtusirostris,0.019718715,3.071687032
Prognathodes aculeatus,0.02188,3.02
Prognathodes aya,0.02188,3.02
Prognathodes brasiliensis,3.30E-05,2.9838
Prognathodes falcifer,0.02188,3.02
Prognathodes guyanensis,3.30E-05,2.9838
Prognathodes marcellae,3.30E-05,2.9838
Protemblemaria bicirrus,0.00468,3.08
Psammoperca waigiensis,0.01,3.04
Pseudanthias bicolor,1.489532887,1.489532887
Pseudanthias cooperi,0.00933,2.97
Pseudanthias dispar,0.01,3.14
Pseudanthias evansi,0.00933,2.97
